math,physics,chemistry,english,cs,attendance,hours_studied,extracurricular,school_type,prep_course,overall_score,passed
73.7,85.7,65.2,66.3,69.0,89.4,13.7,3,Public,Yes,52.62,0
57.5,79.6,55.8,65.8,66.7,87.0,12.1,2,Public,No,61.11,1
79.0,58.6,60.2,85.3,78.8,93.1,15.9,3,Public,No,69.25,1
81.3,48.5,74.9,75.3,76.8,88.9,5.4,4,Public,Yes,43.59,0
46.6,29.5,66.0,69.9,58.5,94.7,9.2,2,Public,Yes,27.82,0
54.4,60.9,70.8,77.0,86.3,92.4,8.6,5,Public,Yes,52.28,0
71.5,99.5,75.4,50.9,73.0,97.2,4.1,5,Private,No,18.41,0
66.2,73.7,60.8,71.6,61.8,87.9,13.2,4,Public,No,34.48,0
69.8,60.7,76.6,92.0,87.1,92.2,9.2,5,Public,Yes,62.45,1
59.8,74.0,71.3,73.3,80.9,82.5,12.2,2,Public,Yes,49.98,0
80.6,47.7,48.7,72.7,60.1,80.2,17.1,0,Public,No,41.62,0
79.3,64.1,86.2,77.5,93.5,98.7,8.9,2,Public,Yes,81.84,1
70.8,69.3,59.0,81.0,81.2,86.7,8.7,4,Private,No,47.79,0
83.5,66.9,42.8,52.0,73.9,91.4,10.4,4,Public,No,24.63,0
75.6,78.3,51.4,55.2,91.5,86.0,13.0,2,Private,No,57.28,0
59.7,72.5,51.7,74.1,75.8,80.3,8.3,1,Private,No,34.46,0
74.4,76.7,66.7,64.9,73.7,85.1,8.1,2,Public,No,42.91,0
58.5,59.1,62.2,85.1,66.7,96.5,13.2,4,Public,No,42.24,0
80.5,79.7,61.3,68.8,80.4,89.4,11.1,0,Public,Yes,86.41,1
69.4,89.2,74.7,52.7,79.2,71.3,3.9,1,Public,Yes,14.93,0
67.8,55.4,70.8,59.3,74.2,83.3,6.3,1,Public,No,26.71,0
61.8,56.5,70.4,44.5,65.3,99.3,14.5,4,Public,Yes,44.12,0
84.7,85.4,71.7,69.7,75.4,83.3,11.2,2,Public,No,48.76,0
68.1,65.5,74.6,70.1,73.2,70.6,7.7,0,Public,No,49.85,0
64.9,86.2,36.5,67.8,59.3,100.0,9.5,1,Private,No,49.38,0
65.8,62.2,60.9,82.8,57.8,90.5,10.0,0,Public,Yes,41.88,0
76.4,86.9,35.5,84.0,80.2,84.4,12.2,2,Private,No,51.1,0
74.4,69.7,66.5,70.3,45.4,82.0,5.9,5,Public,No,33.78,0
75.0,71.4,65.9,50.7,76.3,93.7,7.5,3,Public,Yes,44.76,0
75.2,88.3,80.6,78.2,68.7,80.7,10.8,5,Public,No,60.77,1
95.7,63.3,82.6,77.6,88.4,94.2,9.7,4,Public,No,64.46,1
65.1,55.8,68.8,75.1,68.6,89.3,11.7,5,Public,No,48.05,0
63.9,62.2,59.0,81.8,81.3,87.0,6.3,1,Private,No,51.56,0
60.2,73.9,72.8,60.4,69.6,86.2,11.1,5,Public,Yes,34.01,0
77.4,47.6,58.6,92.1,75.3,83.6,13.3,1,Public,No,33.53,0
83.5,76.3,66.0,62.4,82.1,93.4,11.5,2,Public,No,32.64,0
68.6,61.0,79.8,79.5,68.9,78.1,10.4,4,Public,Yes,64.55,1
59.9,82.9,58.2,55.1,85.0,72.0,9.7,1,Public,No,41.07,0
60.1,36.9,77.3,62.7,63.1,89.9,7.5,1,Public,Yes,37.21,0
77.8,57.8,75.5,87.2,77.2,90.0,9.8,0,Public,Yes,38.14,0
78.9,46.1,52.6,69.4,84.1,88.8,13.8,0,Public,No,64.97,1
76.5,57.3,79.6,80.4,81.3,88.3,9.6,3,Public,Yes,50.7,0
62.0,71.2,75.8,74.4,95.1,82.4,7.3,5,Private,No,57.73,0
72.8,65.7,67.4,71.0,65.6,91.3,8.5,1,Public,Yes,57.32,0
