TransactionID,Amount,Type,IsFraud
1,119.39,Debit,0
2,23.41,Credit,0
3,50.36,Credit,0
4,61.59,Online,0
5,18.36,Online,0
6,470.32,Online,0
7,857.69,Online,1
8,30.93,Online,0
9,99.54,Debit,0
10,165.26,Credit,0
11,177.87,Credit,0
12,72.95,Credit,0
13,326.07,Credit,0
14,93.65,Transfer,0
15,151.95,Online,0
16,161.83,Debit,0
17,238.25,Transfer,0
18,29.25,Credit,0
19,100.79,Transfer,0
20,55.38,Debit,0
21,75.63,Debit,0
22,115.9,Transfer,0
23,306.48,Credit,0
24,223.91,Credit,0
25,69.81,Debit,0
26,6.77,Transfer,0
27,295.39,Transfer,0
28,263.94,Credit,0
29,190.22,Transfer,0
30,130.87,Credit,0
31,719.59,Credit,0
32,126.76,Credit,0
33,18.13,Credit,0
34,447.75,Credit,0
35,527.37,Debit,0
36,7.63,Online,0
37,85.19,Transfer,0
38,205.22,Transfer,0
39,32.75,Credit,0
40,77.26,Debit,0
41,42.12,Credit,0
42,180.58,Online,0
43,18.4,Online,0
44,350.27,Online,0
45,28.13,Transfer,0
46,45.15,Transfer,0
47,6.16,Transfer,0
48,9.54,Debit,0
49,123.23,Debit,0
50,205.16,Debit,0
51,77.91,Debit,0
52,48.93,Credit,0
53,0.16,Credit,0
54,135.1,Credit,0
55,153.06,Credit,0
56,198.58,Debit,0
57,691.86,Debit,0
58,295.21,Online,0
59,22.11,Credit,0
60,194.12,Debit,0
61,92.76,Credit,0
62,203.38,Online,0
63,75.32,Debit,0
64,347.73,Debit,0
65,391.3,Online,0
66,4.08,Debit,0
67,79.09,Debit,0
68,229.34,Credit,0
69,844.74,Transfer,0
70,184.04,Debit,0
71,121.67,Transfer,0
72,149.97,Credit,0
73,13.67,Credit,0
74,100.09,Credit,0
75,140.75,Transfer,0
76,287.92,Online,0
77,52.19,Credit,0
78,136.61,Transfer,0
79,3.95,Debit,0
80,82.73,Debit,0
81,21.67,Online,0
82,361.73,Debit,0
83,196.26,Debit,0
84,569.41,Credit,0
85,246.28,Debit,0
86,143.87,Transfer,0
87,265.25,Debit,0
88,156.86,Transfer,0
89,345.52,Debit,0
90,37.35,Transfer,0
91,169.79,Credit,0
92,139.55,Credit,0
93,84.01,Debit,0
94,152.68,Transfer,0
95,64.95,Debit,0
96,56.68,Credit,0
97,94.81,Transfer,0
98,24.74,Credit,0
99,687.22,Debit,0
100,279.16,Transfer,0
101,299.93,Credit,0
102,78.78,Credit,0
103,84.69,Online,0
104,116.2,Debit,0
105,308.72,Credit,0
106,86.81,Credit,0
107,376.06,Debit,0
108,41.97,Transfer,0
109,80.95,Credit,0
110,32.06,Debit,0
111,95.03,Credit,0
112,87.67,Credit,0
113,60.04,Debit,0
114,139.79,Credit,0
115,326.85,Online,0
116,166.06,Debit,0
117,38.03,Debit,0
118,78.4,Debit,0
119,136.52,Credit,0
120,166.98,Transfer,0
121,374.35,Online,0
122,53.22,Debit,0
123,138.89,Debit,0
124,69.45,Credit,0
125,96.67,Credit,0
126,193.37,Credit,0
127,42.88,Transfer,0
128,61.08,Transfer,0
129,55.11,Debit,0
130,132.37,Credit,0
131,158.13,Credit,0
132,26.0,Credit,0
133,415.28,Debit,0
134,168.79,Transfer,0
135,18.03,Debit,0
136,234.96,Credit,0
137,4.5,Debit,0
138,52.33,Credit,0
139,46.58,Credit,0
140,41.07,Transfer,0
141,135.48,Transfer,0
142,45.59,Debit,0
143,177.77,Credit,0
144,352.51,Credit,0
145,22.87,Transfer,0
146,123.83,Debit,0
147,9.09,Credit,0
148,83.58,Transfer,0
149,402.3,Debit,0
150,75.29,Online,0
151,1134.14,Credit,0
152,265.43,Credit,0
153,397.83,Credit,0
154,40.23,Credit,0
155,163.44,Credit,0
156,117.09,Debit,0
157,60.42,Credit,0
158,86.98,Debit,0
159,106.66,Credit,0
160,85.93,Online,0
161,59.64,Debit,0
162,401.97,Credit,0
163,12.17,Debit,0
164,209.7,Debit,0
165,11.2,Debit,0
166,44.76,Debit,0
167,31.76,Debit,0
168,69.76,Debit,0
169,234.82,Credit,0
170,232.02,Transfer,0
171,298.12,Debit,0
172,360.15,Transfer,0
173,135.82,Credit,0
174,229.22,Credit,0
175,126.01,Credit,0
176,77.14,Credit,0
177,156.39,Debit,0
178,51.95,Credit,0
179,395.49,Credit,0
180,98.16,Credit,0
181,62.24,Credit,0
182,441.8,Online,0
183,170.55,Online,0
184,91.21,Transfer,0
185,491.57,Online,0
186,103.79,Credit,0
187,175.85,Credit,0
